Team;Player;Event;Mins;Secs;X;Y;X2;Y2;recep;Result
Excursio;Chiarelli;PB;0;2;50;51;40;51;Ayala;
Excursio;Ayala;PB;0;5;39;49;17;32;Vives;
Excursio;Vives;PB;0;8;17;28;40;49;Gallardo;
Excursio;Gallardo;PB;0;10;40;51;37;58;Hancevic;
Excursio;Hancevic;PB;0;12;36;50;36;34;Muriano;
Excursio;Muriano;PB;0;12;36;33;48;48;Gallardo;
Excursio;Muriano;PM;0;29;70;57;83;2;;
Excursio;Vives;PB;0;50;32;9;75;33;Chiarelli;
Excursio;Chiarelli;Perdida;0;51;73;24;-;-;;
Excursio;Chiarelli;Recuperacion;0;56;75;6;-;-;;
Excursio;Chiarelli;Perdida;0;56;82;17;-;-;;
Excursio;Bustos;PM;1;45;38;46;86;70;;
Excursio;Hancevic;Recuperacion;1;39;19;33;-;-;;
Excursio;Vives;Recuperacion;2;16;14;37;-;-;;
Excursio;Escobar;PB;2;25;9;45;10;66;Lujan;
Excursio;Lujan;PM;2;30;6;67;58;70;;
Excursio;Millaci;Perdida;2;32;55;69;-;-;;
Excursio;Escobar;PB;2;48;8;48;9;70;Lujan;
Excursio;Lujan;PB;2;51;8;72;27;67;Ayala;
Excursio;Ayala;PM;2;55;27;72;46;60;;
Excursio;Muriano;PB;3;21;27;42;42;36;Gallardo;
Excursio;Muriano;Recuperacion;3;21;28;42;-;-;;
Excursio;Gallardo;Perdida;3;21;39;33;-;-;;
Excursio;Gallardo;Recuperacion;3;27;28;30;-;-;;
Excursio;Ayala;PB;3;29;28;30;14;50;Lujan;
Excursio;Lujan;PB;3;35;13;52;59;73;Millaci;
Excursio;Millaci;PB;3;40;55;80;38;74;Hancevic;
Excursio;Hancevic;PB;3;42;36;70;31;37;Vives;
Excursio;Vives;PB;3;46;27;36;40;5;Ongaro;
Excursio;Ongaro;PB;3;51;53;6;52;39;Hancevic;
Excursio;Hancevic;PB;3;51;52;38;90;93;Chiarelli;
Excursio;Chiarelli;PB;4;2;88;74;81;62;Hancevic;
Excursio;Hancevic;Tiro;4;6;87;64;99;60;;Arco
Excursio;Hancevic;Tiro;4;41;94;62;-;-;;Block
Excursio;Ongaro;Tiro;4;44;86;48;-;-;;Block
Excursio;Ongaro;Recuperacion;5;13;35;3;-;-;;
Excursio;Vives;PM;5;14;25;5;57;14;;
Excursio;Vives;Perdida;5;14;56;17;-;-;;
Excursio;Lujan;Falta;5;19;27;44;-;-;;
Excursio;Gallardo;PM;6;18;22;47;33;47;;
Excursio;Lujan;Recuperacion;6;25;13;87;-;-;;
Excursio;Lujan;PB;6;26;14;89;40;70;Chiarelli;
Excursio;Lujan;Lateral;7;55;77;98;94;55;;
Excursio;Millaci;Tiro;7;56;94;55;99;50;;Arco
Excursio;Hancevic;PB;8;15;45;41;34;17;Ongaro;
Excursio;Hancevic;Recuperacion;8;15;44;41;-;-;;
Excursio;Ongaro;PB;8;17;33;16;26;25;Vives;
Excursio;Vives;PM;8;19;24;28;43;24;;
Excursio;Ongaro;Perdida;8;29;32;7;-;-;;
Excursio;Escobar;Recuperacion;8;52;5;35;-;-;;
Excursio;Escobar;PB;9;0;6;38;6;61;Lujan;
Excursio;Lujan;PM;9;3;5;74;22;67;;
Excursio;Hancevic;Perdida;9;5;23;67;-;-;;
Excursio;Muriano;Recuperacion;9;7;20;87;-;-;;
Excursio;Muriano;PB;9;8;19;85;18;81;Hancevic;
Excursio;Hancevic;PB;9;15;25;45;35;36;Gallardo;
Excursio;Gallardo;Perdida;9;23;55;4;-;-;;
Excursio;Ayala;Recuperacion;9;36;29;5;-;-;;
Excursio;Ongaro;Perdida;9;40;31;2;-;-;;
Excursio;Bustos;Recuperacion;10;13;21;65;-;-;;
Excursio;Bustos;PB;10;13;21;67;46;67;Millaci;
Excursio;Millaci;PB;10;18;47;67;77;91;Gallardo;
Excursio;Gallardo;PB;10;21;77;94;89;77;Bustos;
Excursio;Bustos;PM;10;23;88;78;88;73;;
Excursio;Muriano;Recuperacion;10;44;70;93;-;-;;
Excursio;Muriano;PB;10;44;69;86;73;57;Chiarelli;
Excursio;Chiarelli;PB;10;46;73;55;79;66;Gallardo;
Excursio;Gallardo;PB;10;50;78;64;95;68;Millaci;
Excursio;Millaci;PM;10;51;96;70;95;63;;
Excursio;Millaci;PM;10;55;95;74;94;52;;
Excursio;Vives;PM;11;3;37;51;58;49;;
Excursio;Gallardo;Falta;11;14;56;4;-;-;;
Excursio;Lujan;Recuperacion;11;40;21;94;-;-;;
Excursio;Lujan;Perdida;11;42;32;94;-;-;;
Excursio;Bustos;Recuperacion;11;48;20;93;-;-;;
Excursio;Bustos;PB;11;48;20;93;25;89;Hancevic;
Excursio;Hancevic;Falta recibida;11;54;53;77;-;-;;
Excursio;Hancevic;Tiro libre;12;10;52;72;37;80;;
Excursio;Lujan;PB;12;13;39;78;37;30;Vives;
Excursio;Vives;PB;12;20;36;28;68;3;Chiarelli;
Excursio;Chiarelli;Perdida;12;20;68;2;-;-;;
Excursio;Muriano;Recuperacion;12;51;50;20;-;-;;
Excursio;Millaci;PM;12;55;77;22;77;28;;
Excursio;Vives;PM;12;45;20;27;47;28;;
Excursio;Vives;PM;13;7;41;21;83;13;;
Excursio;Hancevic;Falta;13;17;48;15;-;-;;
Excursio;Hancevic;PM;13;49;18;75;35;78;;
Excursio;Bustos;PB;14;13;12;67;37;57;Muriano;
Excursio;Bustos;Recuperacion;14;13;13;65;-;-;;
Excursio;Muriano;PB;14;19;33;35;21;30;Vives;
Excursio;Vives;PB;14;21;19;27;28;38;Muriano;
Excursio;Muriano;PM;14;24;38;70;59;97;;
Excursio;Muriano;Perdida;14;25;44;71;-;-;;
Excursio;Bustos;Recuperacion;14;43;51;93;-;-;;
Excursio;Bustos;PB;14;44;52;95;62;79;Millaci;
Excursio;Millaci;PB;14;46;59;70;66;90;Bustos;
Excursio;Bustos;Falta recibida;14;47;70;89;-;-;;
Excursio;Muriano;Tiro libre;15;57;70;90;99;37;;
Excursio;Lujan;Recuperacion;16;37;54;91;-;-;;
Excursio;Lujan;PB;16;37;55;92;67;91;Hancevic;
Excursio;Hancevic;Perdida;16;40;69;87;-;-;;
Excursio;Bustos;Recuperacion;17;3;14;92;-;-;;
Excursio;Bustos;PB;17;6;14;91;22;91;Hancevic;
Excursio;Hancevic;PB;17;8;22;91;30;92;Gallardo;
Excursio;Gallardo;Perdida;17;11;42;85;-;-;;
Excursio;Hancevic;PB;17;14;42;85;57;78;Millaci;
Excursio;Millaci;PB;17;17;77;60;80;34;Chiarelli;
Excursio;Chiarelli;PB;17;20;80;30;78;42;Gallardo;
Excursio;Gallardo;PM;17;23;78;42;81;51;;
Excursio;Gallardo;Perdida;17;23;81;52;-;-;;
Excursio;Muriano;Recuperacion;17;27;57;49;-;-;;
Excursio;Muriano;PB;17;30;59;47;49;30;Ongaro;
Excursio;Ongaro;PM;17;32;48;30;60;25;;
Excursio;Ongaro;Perdida;17;35;49;30;-;-;;
Excursio;Gallardo;Falta recibida;17;38;48;22;-;-;;
Excursio;Ongaro;Tiro libre;17;50;44;6;32;15;;
Excursio;Vives;PB;17;54;32;17;30;41;Ayala;
Excursio;Ayala;PB;17;57;29;52;28;25;Vives;
Excursio;Vives;PB;18;4;25;24;30;87;Lujan;
Excursio;Lujan;PB;18;7;27;90;36;74;Ayala;
Excursio;Ayala;PB;18;12;33;81;59;3;Ongaro;
Excursio;Ongaro;PM;18;16;61;3;78;45;;
